Study_Hours,Sleep_Hours,Screen_Time_Hours,Exercise_Hours,Stress_Level,Previous_Marks,Burnout_Score,Burnout_Level,Performance_Decline,Final_Predicted_Marks
3.8,6.12,2.58,1.6,7,63.29,2.73,Medium,2.66,60.63
7.84,5.87,9.36,1.29,2,73.91,0.95,Low,0.0,73.9
8.48,5.5,6.3,0.3,5,83.66,3.65,Medium,3.04,80.62
6.96,4.91,5.01,1.42,5,79.29,4.59,Medium,4.51,74.79
5.17,5.68,6.72,1.2,3,65.49,0.77,Low,0.95,64.54
3.38,6.74,5.69,1.49,2,72.04,2.26,Low,1.91,70.13
3.34,7.15,4.83,0.92,3,68.57,0.08,Low,4.58,63.99
6.05,6.59,1.68,1.65,5,76.36,2.31,Low,3.52,72.84
5.84,3.47,4.32,0.95,6,65.27,2.58,Medium,0.68,64.59
7.8,9.36,6.56,1.58,4,91.13,3.08,Medium,1.91,89.22
6.3,8.63,4.69,0.63,7,78.03,3.0,Medium,3.78,74.25
1.99,7.67,7.26,0.69,2,72.16,1.84,Low,3.32,68.84
7.1,9.86,5.96,1.48,6,82.12,2.14,Low,0.78,81.34
3.0,5.53,2.8,0.73,9,51.89,4.97,High,0.31,51.58
4.23,9.83,1.7,2.76,10,75.14,4.13,Medium,3.41,71.73
5.5,5.55,4.61,1.45,5,69.64,3.21,Medium,3.05,66.59
8.99,7.36,3.69,1.02,4,87.28,1.77,Low,0.3,86.99
11.22,5.09,5.84,1.66,9,78.64,6.29,High,4.87,73.76
6.21,7.02,3.2,0.62,6,56.8,1.08,Low,1.26,55.54
4.63,7.58,3.46,1.74,4,79.39,1.65,Low,1.93,77.46
6.07,6.77,7.63,1.72,1,71.32,2.56,Medium,0.89,70.43
6.78,8.07,5.37,2.0,9,68.8,6.99,High,4.14,64.65
4.36,7.15,3.24,0.65,10,60.27,6.53,High,4.81,55.46
8.59,6.22,5.04,0.02,3,81.69,1.4,Low,1.07,80.62
5.46,6.15,8.45,0.51,6,71.75,5.0,High,1.42,70.34
6.0,8.22,5.73,0.77,1,74.59,0.6,Low,3.53,71.06
6.33,6.02,6.48,2.33,6,83.84,5.77,High,2.64,81.2
5.84,8.37,3.12,2.76,3,94.61,-0.52,Low,0.53,94.09
6.68,8.83,7.57,1.28,3,85.4,3.52,Medium,4.64,80.76
3.77,4.5,10.8,1.01,7,54.08,4.46,Medium,3.06,51.03
3.88,8.7,3.02,0.72,9,64.58,3.27,Medium,1.51,63.08
2.8,10.0,2.05,1.66,6,62.59,-0.49,Low,2.45,60.14
5.88,7.38,5.44,2.75,1,88.94,-2.4,Low,2.5,86.44
6.56,7.9,7.19,2.43,9,63.13,3.76,Medium,2.63,60.5
5.92,8.56,4.77,1.91,5,76.71,1.78,Low,2.49,74.22
8.35,6.59,2.37,1.9,2,94.32,3.16,Medium,2.81,91.52
4.99,7.27,4.73,1.67,3,71.85,-0.23,Low,1.97,69.88
6.34,5.03,6.5,0.96,5,73.28,3.11,Medium,0.73,72.55
2.82,7.21,3.98,0.41,2,65.87,-1.65,Low,3.32,62.55
4.23,7.75,6.52,0.98,3,71.62,3.51,Medium,3.96,67.65
6.39,7.77,7.91,1.34,8,67.21,4.36,Medium,4.21,63.01
6.7,8.6,5.6,0.0,6,74.22,2.93,Medium,0.11,74.11
4.41,5.84,4.93,0.88,2,66.13,0.91,Low,2.02,64.1
4.86,6.2,7.07,0.34,2,62.37,-0.76,Low,4.89,57.47
1.96,9.84,2.86,1.81,1,75.92,-3.76,Low,0.31,75.61
4.29,6.77,2.61,0.56,7,59.62,1.57,Low,3.93,55.7
6.78,7.3,4.33,1.26,6,83.98,4.14,Medium,0.63,83.35
6.15,6.9,3.77,0.44,6,65.18,-0.55,Low,4.12,61.06
6.0,5.77,2.99,2.28,5,89.57,3.22,Medium,3.36,86.21
5.1,9.44,9.58,0.0,3,70.41,3.08,Medium,3.63,66.79
5.01,6.21,10.43,1.38,8,55.32,3.27,Medium,4.89,50.43
3.68,5.31,4.12,0.0,3,60.46,1.4,Low,4.7,55.76
6.4,6.32,5.23,0.59,5,75.46,5.08,High,1.52,73.93
5.84,4.0,4.53,1.16,8,61.04,3.49,Medium,8.78,52.26
5.98,6.02,7.77,1.2,3,73.44,2.15,Low,2.04,71.41
3.95,5.55,8.26,1.18,5,62.25,8.01,High,0.9,61.35
0.69,7.93,0.56,1.12,6,62.5,1.19,Low,1.91,60.6
7.19,5.99,6.19,0.49,1,87.13,1.51,Low,4.9,82.24
4.04,8.33,1.73,0.87,2,81.53,-1.06,Low,2.45,79.08
3.27,9.1,9.4,1.03,7,51.52,4.6,Medium,4.76,46.76
6.39,8.17,6.1,1.16,9,57.81,5.95,High,0.36,57.45
4.22,6.68,2.94,0.95,10,59.7,1.3,Low,0.2,59.51
7.12,7.21,4.4,1.58,4,84.19,-1.09,Low,2.88,81.31
6.23,4.71,4.28,1.07,5,80.8,1.9,Low,3.68,77.12
6.37,6.8,6.31,1.16,4,74.5,2.66,Medium,1.09,73.41
2.27,5.71,7.6,0.69,3,57.04,2.5,Medium,2.52,54.52
7.42,8.04,2.13,0.16,10,76.94,2.12,Low,4.36,72.58
5.52,10.0,9.6,1.12,2,79.63,1.45,Low,3.81,75.82
4.26,7.75,9.01,1.97,3,73.14,2.23,Low,1.16,71.98
5.29,4.01,2.81,1.36,2,70.93,0.15,Low,1.67,69.26
1.45,6.46,5.18,0.35,8,41.09,3.04,Medium,1.53,39.56
5.82,7.18,9.28,1.65,1,75.27,0.87,Low,3.6,71.68
2.94,7.13,8.08,0.73,5,45.23,3.92,Medium,4.84,40.39
2.29,5.9,4.16,1.57,1,67.27,0.13,Low,1.4,65.87
1.96,7.37,7.04,0.7,5,50.82,0.94,Low,2.94,47.88
7.23,5.14,12.0,1.28,3,70.63,6.18,High,4.94,65.69
3.74,5.58,5.26,0.59,9,50.67,2.98,Medium,0.79,49.88
8.07,7.97,3.42,0.61,1,87.82,-1.94,Low,3.3,84.52
3.93,5.48,5.43,0.0,10,55.07,5.4,High,1.66,53.41
1.59,7.81,5.62,1.41,1,66.17,-0.5,Low,4.96,61.21
2.77,4.95,3.69,1.3,8,57.63,4.03,Medium,9.98,47.65
7.47,9.65,6.1,1.34,3,88.97,-0.11,Low,2.26,86.71
4.69,5.84,1.86,1.22,7,69.61,4.34,Medium,1.27,68.34
3.9,6.66,3.34,0.39,10,48.3,7.28,High,0.16,48.15
5.32,7.5,6.9,1.77,5,77.64,3.0,Medium,4.82,72.82
6.0,6.15,0.61,1.79,2,91.18,0.65,Low,2.84,88.33
7.23,7.22,7.26,0.37,7,69.5,1.71,Low,3.5,65.99
7.9,7.86,0.0,1.43,7,89.03,1.78,Low,3.1,85.93
4.28,8.44,0.67,1.7,3,87.11,-1.36,Low,0.74,86.37
2.35,8.19,3.75,0.62,6,58.15,0.73,Low,0.85,57.3
4.17,6.74,5.72,0.76,5,55.98,1.89,Low,3.13,52.84
5.52,6.78,8.31,1.43,1,73.69,0.94,Low,3.9,69.79
3.07,10.0,5.14,0.0,1,73.34,-2.52,Low,3.06,70.28
3.09,8.42,4.38,0.13,2,68.84,-0.35,Low,2.85,65.99
5.69,5.62,6.45,0.21,7,67.52,3.28,Medium,3.73,63.79
4.9,7.15,2.82,0.0,3,68.88,2.36,Medium,1.22,67.66
5.07,6.5,5.35,1.87,9,58.67,5.29,High,3.66,55.01
3.48,6.8,2.0,0.0,3,63.23,1.26,Low,2.06,61.18
4.54,5.16,5.21,1.27,10,56.63,7.13,High,3.37,53.26
3.15,6.38,4.68,1.65,4,57.68,0.55,Low,1.37,56.3
6.78,9.72,2.99,0.77,8,82.09,3.59,Medium,0.69,81.4
7.07,7.87,5.41,0.47,4,74.63,4.19,Medium,0.15,74.49
1.31,3.26,5.4,1.19,7,39.36,2.82,Medium,4.02,35.34
3.14,8.83,7.94,1.0,5,70.16,-0.38,Low,0.98,69.18
2.01,8.63,0.99,1.8,6,73.39,-0.29,Low,1.82,71.57
3.7,6.46,4.81,0.0,8,55.1,5.68,High,3.84,51.26
4.83,8.08,3.1,0.27,4,67.08,-0.01,Low,2.25,64.82
2.1,5.71,7.17,1.45,6,61.48,2.87,Medium,1.09,60.4
3.16,6.29,6.88,1.04,10,47.03,4.43,Medium,0.97,46.05
2.99,9.25,6.27,1.6,2,73.1,0.1,Low,2.04,71.06
5.41,6.59,3.24,1.21,9,70.17,2.76,Medium,2.83,67.34
5.14,4.2,7.21,0.89,9,42.99,4.03,Medium,11.16,31.83
3.56,6.91,1.17,0.76,10,55.35,3.18,Medium,4.52,50.83
5.35,6.88,0.66,2.86,10,72.43,3.23,Medium,0.02,72.41
3.91,8.8,1.81,2.23,6,75.84,2.91,Medium,2.01,73.83
4.46,7.02,4.92,1.4,6,60.17,3.08,Medium,3.71,56.45
8.35,6.37,6.69,1.06,10,70.91,4.8,Medium,4.45,66.46
7.68,8.57,0.0,1.43,7,88.32,1.08,Low,1.79,86.53
2.4,7.18,8.31,1.66,4,66.83,3.56,Medium,3.37,63.46
6.66,5.87,5.33,1.34,7,75.4,3.77,Medium,2.9,72.5
6.62,8.73,1.08,0.4,10,72.19,2.31,Low,1.01,71.18
2.7,7.29,5.25,2.43,1,71.82,0.07,Low,3.4,68.41
6.64,7.0,7.73,1.2,7,73.63,3.62,Medium,1.25,72.38
8.08,7.27,6.5,2.61,1,94.34,2.08,Low,3.92,90.42
2.75,5.39,7.75,1.15,8,40.78,5.57,High,4.33,36.45
3.16,6.21,1.58,0.8,10,65.58,2.36,Medium,2.39,63.19
7.04,7.01,3.96,2.11,6,75.58,5.75,High,0.27,75.31
5.54,6.71,2.69,1.24,1,95.67,-0.03,Low,3.69,91.99
6.1,8.91,9.29,1.11,1,81.75,-2.38,Low,2.34,79.41
5.68,7.33,6.6,0.04,4,66.42,3.48,Medium,0.47,65.95
5.78,8.28,12.0,1.53,7,50.44,1.57,Low,1.66,48.78
2.35,7.01,3.83,0.61,5,63.37,3.45,Medium,1.45,61.92
7.09,8.58,3.19,0.64,5,74.94,2.26,Low,3.63,71.31
7.34,7.6,4.64,0.61,8,75.19,4.24,Medium,2.12,73.07
4.54,7.02,8.45,1.35,2,79.26,1.94,Low,2.94,76.32
4.91,6.98,4.08,0.0,4,63.8,2.87,Medium,2.51,61.29
1.94,5.57,5.31,0.83,4,59.11,1.3,Low,3.62,55.48
6.03,7.76,5.24,1.78,8,67.07,3.95,Medium,3.59,63.48
6.14,6.94,5.1,0.0,6,74.48,3.73,Medium,2.24,72.24
4.88,6.25,3.37,1.14,10,60.69,0.44,Low,0.68,60.01
7.25,8.66,4.66,0.49,9,72.72,5.41,High,2.04,70.68
4.33,5.12,4.55,0.68,10,58.82,6.58,High,0.8,58.02
6.13,6.37,4.98,2.32,9,71.88,5.4,High,4.8,67.08
2.96,8.54,7.36,0.0,4,55.86,2.68,Medium,4.75,51.11
4.95,7.47,9.4,1.61,10,64.43,8.51,High,2.28,62.15
4.65,6.93,2.9,0.62,7,58.29,2.9,Medium,0.14,58.15
5.45,7.38,4.02,0.58,3,77.64,1.33,Low,1.87,75.76
4.26,7.27,2.94,0.11,6,61.39,1.42,Low,4.48,56.92
4.74,4.73,5.47,1.6,1,65.57,-1.65,Low,1.44,64.13
6.65,6.48,3.65,0.85,5,70.95,3.37,Medium,3.11,67.84
4.13,9.42,5.6,0.75,6,66.95,1.58,Low,0.92,66.03
1.79,6.01,7.76,1.09,5,52.54,0.15,Low,4.13,48.42
8.5,6.52,0.0,0.86,7,90.93,2.83,Medium,4.46,86.47
7.76,6.19,6.23,0.0,4,83.46,3.28,Medium,3.08,80.39
2.42,6.87,3.85,0.61,5,60.84,1.48,Low,3.12,57.72
6.38,6.13,6.15,1.72,4,73.47,3.02,Medium,1.89,71.58
3.99,7.73,2.76,0.0,9,64.49,1.34,Low,3.54,60.96
5.53,7.3,7.99,0.13,2,68.02,3.65,Medium,2.39,65.63
5.59,8.16,7.28,0.66,1,69.75,1.75,Low,3.73,66.02
4.53,5.42,6.42,0.42,4,67.29,4.86,Medium,4.84,62.45
3.43,6.49,6.98,0.98,6,63.79,2.68,Medium,4.11,59.68
3.62,6.66,3.14,0.13,10,49.36,5.16,High,2.59,46.78
3.17,7.68,3.45,0.69,8,68.73,0.3,Low,4.89,63.84
3.34,5.81,6.88,0.96,4,62.44,1.42,Low,3.04,59.41
4.87,8.37,3.08,1.52,1,86.32,-2.6,Low,0.32,85.99
3.57,8.78,8.61,2.0,9,54.32,5.03,High,3.65,50.66
6.36,5.52,4.19,0.79,3,81.66,0.43,Low,4.1,77.56
7.97,6.26,6.25,2.51,6,72.95,3.31,Medium,0.67,72.28
3.84,6.2,10.25,0.85,10,43.25,6.68,High,3.4,39.85
5.48,10.0,3.23,1.66,8,72.39,1.99,Low,4.6,67.78
6.0,6.36,5.17,2.55,5,70.04,0.73,Low,1.26,68.78
5.94,9.52,7.64,1.11,7,75.0,6.24,High,2.93,72.08
5.15,5.1,7.38,0.0,10,51.45,6.76,High,1.37,50.07
6.49,5.52,4.18,1.07,9,69.94,7.54,High,3.87,66.07
5.96,5.97,3.71,0.51,1,78.38,-0.76,Low,2.9,75.47
2.52,5.73,4.42,0.78,8,56.2,3.26,Medium,2.14,54.06
6.74,6.6,8.62,2.59,2,81.37,2.44,Medium,0.14,81.22
6.77,5.94,4.3,0.02,1,78.22,3.53,Medium,4.72,73.5
3.47,5.77,5.2,1.24,4,60.17,4.62,Medium,2.49,57.68
5.08,8.74,3.93,0.3,6,60.86,1.74,Low,4.02,56.84
6.37,8.84,6.76,0.75,8,75.08,3.28,Medium,1.96,73.12
4.58,8.42,5.39,1.6,1,85.13,0.05,Low,4.25,80.89
7.15,7.79,2.49,1.25,1,100.0,1.76,Low,0.8,99.2
9.73,7.14,2.58,0.82,10,80.11,5.49,High,1.16,78.95
3.43,6.25,0.0,0.48,2,70.32,0.06,Low,1.67,68.66
2.24,5.57,2.92,1.25,9,42.96,5.56,High,0.44,42.52
5.61,7.54,6.98,2.37,4,80.94,3.9,Medium,2.22,78.72
6.44,5.24,8.31,0.28,7,64.27,7.13,High,2.43,61.84
4.54,5.51,6.71,2.53,3,78.45,3.2,Medium,0.57,77.87
7.91,8.73,6.39,1.96,1,88.8,3.01,Medium,2.14,86.67
2.32,9.85,4.68,2.1,1,79.84,-2.83,Low,0.99,78.85
6.39,7.59,6.94,1.25,9,63.45,8.71,High,4.38,59.07
3.79,8.66,5.72,1.94,4,78.43,3.08,Medium,2.55,75.88
8.44,6.63,9.51,0.19,3,80.01,3.77,Medium,4.76,75.25
8.99,4.99,4.75,0.47,5,72.41,5.8,High,1.71,70.71
3.47,7.92,8.36,1.61,1,69.35,0.48,Low,1.71,67.64
3.9,7.85,7.19,1.24,3,58.5,2.54,Medium,1.69,56.81
6.72,7.11,6.84,0.88,4,69.66,3.97,Medium,1.34,68.32
4.23,6.64,0.0,0.0,6,62.66,3.15,Medium,3.92,58.74
4.91,8.44,7.32,0.65,9,56.29,4.33,Medium,1.41,54.88
5.05,5.52,4.68,0.06,3,67.09,3.57,Medium,1.44,65.65
1.16,5.84,3.89,1.39,4,57.49,0.71,Low,0.23,57.26
4.97,5.49,1.29,0.85,5,72.04,3.16,Medium,4.83,67.21
3.62,7.13,4.99,0.5,8,56.63,3.96,Medium,4.43,52.2
4.01,5.37,5.08,3.11,9,62.17,1.86,Low,1.46,60.71
7.89,5.97,1.74,1.83,3,84.13,0.34,Low,2.6,81.52
2.49,5.94,1.32,1.84,3,69.76,1.51,Low,2.41,67.34
6.63,6.61,6.22,2.76,7,81.86,3.7,Medium,0.44,81.42
4.44,4.77,7.18,1.64,9,52.63,7.6,High,13.61,39.03
4.44,7.13,5.48,0.38,1,75.43,-1.01,Low,0.57,74.87
6.58,8.87,7.88,0.29,1,83.13,2.5,Medium,2.17,80.96
5.68,7.2,4.78,1.77,2,85.58,0.98,Low,0.44,85.14
6.14,9.31,4.86,0.0,6,75.33,2.52,Medium,2.94,72.38
6.94,9.0,2.71,0.94,3,92.73,-0.96,Low,0.25,92.48
4.34,8.17,1.1,0.0,8,68.57,3.06,Medium,3.14,65.43
3.78,7.11,9.64,1.08,5,61.39,2.28,Low,3.54,57.86
2.83,7.03,7.83,1.68,3,64.9,1.01,Low,2.85,62.05
3.35,8.15,1.52,1.22,8,60.05,2.23,Low,2.35,57.7
10.9,6.41,5.39,1.75,8,81.73,4.97,High,0.3,81.43
7.49,4.18,4.75,2.57,2,83.13,3.7,Medium,0.06,83.08
2.3,7.74,4.32,0.89,5,68.61,-2.13,Low,1.71,66.9
2.36,5.3,3.98,3.25,3,66.94,0.66,Low,3.86,63.08
5.96,5.56,5.95,1.17,7,67.1,4.03,Medium,3.24,63.86
6.09,7.0,7.05,1.76,2,69.25,1.87,Low,0.63,68.63
6.1,6.86,6.01,0.51,9,63.6,4.55,Medium,3.44,60.16
4.49,4.88,4.7,2.3,2,73.99,2.92,Medium,2.87,71.12
4.75,7.25,4.61,1.83,2,64.72,0.4,Low,0.83,63.88
5.66,8.45,7.34,2.18,6,74.49,3.56,Medium,3.78,70.72
5.17,5.31,6.16,1.04,3,60.94,3.92,Medium,4.15,56.79
0.56,8.91,5.18,0.0,3,52.66,0.57,Low,1.16,51.5
4.54,4.66,4.91,1.37,10,59.19,3.81,Medium,6.51,52.68
3.3,10.0,5.86,0.0,2,71.18,-0.22,Low,1.89,69.29
5.35,6.38,3.83,0.73,5,68.38,2.47,Medium,0.29,68.08
10.97,7.22,7.05,1.15,5,88.53,1.94,Low,4.31,84.22
5.73,4.16,2.31,2.9,7,70.41,2.44,Medium,4.1,66.31
4.37,6.91,3.97,1.25,8,63.92,3.64,Medium,1.59,62.33
6.84,7.34,6.53,1.11,8,63.6,7.92,High,2.66,60.94
5.97,6.87,2.17,0.95,3,86.82,1.65,Low,2.56,84.26
5.84,6.16,1.07,0.0,6,66.33,2.88,Medium,0.89,65.45
6.21,5.58,5.16,1.07,5,62.85,5.94,High,0.73,62.12
9.11,8.7,0.76,1.08,4,100.0,2.11,Low,4.22,95.78
2.74,7.05,1.75,0.23,10,50.91,5.01,High,4.34,46.57
5.95,9.31,6.89,0.05,6,70.58,2.84,Medium,3.63,66.95
3.15,6.21,4.49,0.61,4,65.39,0.09,Low,0.36,65.03
6.11,6.35,8.21,1.05,8,58.38,5.96,High,4.55,53.83
3.16,8.22,1.99,0.63,9,60.7,5.87,High,4.9,55.8
4.17,4.57,4.77,0.16,1,70.36,3.63,Medium,3.88,66.49
4.41,5.18,6.0,1.23,1,78.91,2.37,Medium,1.77,77.14
6.95,8.65,2.07,1.43,4,85.73,0.1,Low,2.03,83.7
6.84,5.24,7.58,1.1,6,65.44,2.52,Medium,4.35,61.09
2.51,4.27,6.28,0.55,8,47.63,3.76,Medium,14.99,32.64
5.11,9.8,0.98,1.48,1,92.05,-1.09,Low,0.71,91.34
3.58,4.91,4.91,0.85,3,62.64,1.34,Low,4.11,58.53
2.48,7.28,5.96,0.05,4,65.65,3.6,Medium,0.97,64.68
4.57,7.1,3.52,1.83,10,54.26,2.24,Low,4.54,49.72
4.38,3.0,1.3,1.28,2,64.32,0.92,Low,2.98,61.34
9.85,6.6,5.7,0.9,9,70.43,4.87,Medium,2.78,67.65
5.87,7.67,10.53,0.0,3,73.03,5.02,High,3.88,69.15
2.24,7.53,4.03,0.4,4,63.78,2.13,Low,0.08,63.7
3.87,8.36,8.92,2.61,4,61.8,1.17,Low,3.57,58.23
7.04,6.42,3.12,0.0,1,83.71,2.2,Low,2.99,80.72
9.18,8.07,5.54,0.8,5,86.8,0.98,Low,2.62,84.18
1.83,5.97,6.93,0.99,5,40.77,0.28,Low,1.09,39.68
1.24,4.88,4.98,1.26,2,57.97,-0.3,Low,4.15,53.82
8.74,5.05,4.26,0.0,1,80.8,-0.97,Low,1.25,79.55
5.78,4.81,6.82,1.14,5,69.46,3.86,Medium,2.45,67.01
3.26,8.51,9.73,0.0,5,49.75,3.4,Medium,0.79,48.96
6.07,4.73,5.75,1.08,7,65.44,4.2,Medium,4.87,60.57
0.0,7.41,3.71,0.48,10,47.16,4.6,Medium,0.97,46.19
5.01,6.6,4.53,0.31,10,62.24,4.23,Medium,4.02,58.22
5.66,6.85,11.3,1.67,2,72.91,1.19,Low,1.32,71.59
6.85,9.05,5.34,0.81,8,73.51,2.9,Medium,1.28,72.23
2.97,6.34,3.51,1.38,5,55.94,0.14,Low,2.11,53.83
5.17,7.92,2.14,1.41,5,75.34,0.6,Low,4.23,71.11
3.15,7.06,0.44,2.02,9,62.97,3.63,Medium,3.44,59.54
5.51,6.77,5.91,0.03,2,71.33,-0.8,Low,4.36,66.98
3.21,10.0,6.64,1.74,10,50.42,3.78,Medium,0.24,50.18
4.18,4.84,4.01,1.01,2,71.61,2.82,Medium,4.78,66.83
3.01,8.93,4.96,0.7,5,58.64,3.38,Medium,0.39,58.26
6.3,7.98,2.07,0.08,1,94.04,-1.05,Low,3.61,90.43
6.72,6.28,5.33,1.49,5,76.63,6.58,High,1.04,75.59
4.53,9.44,6.2,0.26,5,73.39,0.8,Low,4.2,69.18
5.08,4.23,3.66,1.41,8,66.3,4.22,Medium,14.8,51.51
2.1,6.22,9.23,2.54,6,63.02,2.06,Low,2.76,60.27
4.4,5.19,2.91,1.78,6,67.88,3.49,Medium,2.01,65.86
4.9,7.62,5.71,2.11,5,70.66,6.69,High,3.97,66.69
10.24,5.33,7.12,0.42,5,80.37,7.77,High,4.37,76.0
2.78,7.65,4.81,1.61,8,65.5,4.65,Medium,3.69,61.81
7.93,6.72,4.53,0.08,1,80.01,0.5,Low,4.53,75.48
6.99,6.28,1.43,0.81,9,68.44,4.03,Medium,3.13,65.31
5.56,7.58,8.39,2.39,6,71.19,5.55,High,3.35,67.83
8.52,6.6,4.58,0.51,9,73.18,6.62,High,2.86,70.32
5.74,5.37,6.34,1.89,2,80.7,2.19,Low,2.44,78.26
5.78,10.0,6.68,1.81,3,75.83,1.51,Low,3.27,72.56
4.89,6.27,3.43,1.86,1,80.21,1.84,Low,2.81,77.41
7.45,3.67,4.51,0.0,5,69.44,6.19,High,3.66,65.79
7.19,5.74,8.34,1.42,2,72.64,0.68,Low,4.67,67.97
3.75,5.1,2.21,0.87,1,76.9,0.55,Low,1.87,75.03
2.36,8.24,10.32,1.87,9,47.6,6.09,High,2.06,45.54
4.59,7.48,3.14,0.0,9,59.96,3.32,Medium,0.08,59.89
3.4,7.6,2.05,1.29,6,63.48,3.68,Medium,2.64,60.84
4.87,6.44,5.33,1.18,8,60.08,3.97,Medium,0.66,59.42
7.47,6.58,10.52,0.0,9,54.17,9.14,High,3.58,50.59
4.09,6.44,0.22,0.29,5,74.09,0.84,Low,3.9,70.19
4.91,6.88,4.65,0.0,2,77.61,1.7,Low,3.61,73.99
5.12,8.25,6.19,0.42,4,79.34,2.68,Medium,2.73,76.61
6.7,7.5,5.08,1.44,3,84.66,4.32,Medium,2.67,81.99
0.51,7.75,5.95,1.16,10,40.37,5.44,High,3.23,37.13
3.79,7.75,3.2,1.14,7,62.9,1.98,Low,2.77,60.13
5.42,8.33,3.5,0.17,10,66.05,4.19,Medium,3.75,62.3
7.4,7.43,4.63,1.9,10,74.22,4.85,Medium,4.47,69.74
4.02,7.54,2.18,0.98,10,59.96,4.03,Medium,2.68,57.28
1.25,8.78,4.89,1.03,8,50.99,1.46,Low,0.55,50.44
6.24,6.0,4.03,1.75,5,82.03,2.68,Medium,0.66,81.38
3.73,5.72,3.82,0.21,2,65.07,3.19,Medium,1.88,63.19
2.62,5.22,5.8,1.18,9,54.5,6.95,High,2.48,52.02
3.75,7.27,0.45,1.34,1,81.81,-3.41,Low,1.13,80.68
4.63,4.22,4.43,0.56,5,60.17,0.79,Low,2.26,57.91
3.79,7.69,10.79,1.52,3,59.0,1.99,Low,0.68,58.32
0.59,6.84,2.28,1.38,8,49.97,-0.19,Low,1.2,48.77
6.79,8.7,8.21,0.92,8,71.53,3.13,Medium,3.67,67.86
7.55,5.99,5.14,0.89,1,83.28,2.1,Low,4.93,78.35
6.3,6.7,3.49,1.42,4,83.87,1.96,Low,0.93,82.94
2.72,8.68,1.7,1.63,10,58.48,0.54,Low,1.7,56.78
4.6,9.07,5.35,1.05,8,65.04,5.35,High,1.75,63.29
4.99,5.98,8.63,1.9,9,50.21,5.28,High,1.12,49.1
6.2,7.27,4.03,1.53,9,72.67,3.68,Medium,1.02,71.65
6.34,7.44,4.8,0.0,2,77.7,3.0,Medium,0.66,77.04
3.53,7.56,7.53,0.0,9,57.85,5.81,High,4.54,53.32
5.16,6.61,5.85,1.95,8,68.45,4.35,Medium,3.25,65.2
5.91,8.92,1.07,0.8,9,74.73,2.42,Medium,1.45,73.28
7.91,4.17,5.25,1.13,9,73.63,7.04,High,14.64,58.98
6.41,6.37,8.78,1.91,3,76.96,2.47,Medium,2.95,74.01
6.58,7.67,4.91,0.99,5,82.32,2.44,Medium,3.49,78.83
5.17,7.69,0.0,1.03,3,78.82,-1.74,Low,1.27,77.55
7.82,9.03,5.97,0.31,6,81.61,5.3,High,1.74,79.87
5.82,8.8,4.5,1.3,10,70.52,6.95,High,1.45,69.07
3.28,6.57,0.43,1.47,5,62.3,1.34,Low,0.44,61.86
7.81,8.95,0.8,0.54,2,100.0,-0.72,Low,1.93,98.07
6.4,5.93,7.44,0.26,3,65.27,4.58,Medium,2.67,62.6
4.11,8.4,3.17,3.1,7,67.3,3.02,Medium,3.28,64.03
4.04,9.72,2.73,0.93,10,50.03,2.86,Medium,2.08,47.95
5.59,8.82,4.91,0.45,10,66.38,6.58,High,4.92,61.46
5.93,7.16,3.39,1.57,5,69.42,1.6,Low,3.13,66.29
5.39,6.5,5.25,0.96,3,71.0,0.08,Low,4.43,66.57
5.62,4.71,4.49,0.13,4,71.75,2.94,Medium,4.58,67.17
8.4,7.47,2.0,1.39,6,88.65,4.39,Medium,4.11,84.54
7.14,5.33,3.72,0.32,8,65.48,5.04,High,1.35,64.13
5.38,5.81,6.11,2.26,7,58.82,2.45,Medium,2.16,56.66
6.88,5.21,5.1,1.4,3,77.95,1.96,Low,0.0,77.95
2.93,6.31,4.8,0.78,2,69.78,2.77,Medium,2.26,67.52
5.8,6.96,9.84,1.09,3,73.1,3.72,Medium,1.47,71.63
8.62,7.41,6.83,1.72,5,93.16,3.68,Medium,0.56,92.6
4.56,6.1,7.13,1.15,7,55.94,4.3,Medium,4.19,51.74
3.3,8.6,4.59,2.7,8,59.06,4.54,Medium,3.37,55.69
3.7,6.69,5.55,1.91,6,65.11,4.54,Medium,5.0,60.11
2.82,5.82,3.92,1.39,2,68.26,-1.38,Low,2.49,65.77
3.43,7.34,6.94,0.25,2,64.71,2.93,Medium,1.65,63.06
4.26,9.95,4.72,0.88,10,58.76,4.88,Medium,1.32,57.44
2.19,7.5,5.56,1.38,5,46.31,4.47,Medium,2.18,44.13
5.03,6.46,5.4,0.34,5,60.93,3.02,Medium,1.55,59.38
6.8,4.71,4.95,2.03,1,86.09,3.23,Medium,4.95,81.14
3.18,6.67,12.0,0.22,1,58.16,3.39,Medium,0.91,57.25
8.04,7.35,3.33,0.49,9,80.16,3.13,Medium,0.1,80.06
6.02,6.42,3.31,0.55,7,71.33,5.19,High,0.65,70.68
7.06,4.5,6.74,1.6,8,69.61,6.98,High,5.4,64.21
3.68,5.72,3.51,0.36,5,65.81,1.53,Low,3.47,62.34
6.71,9.18,4.27,0.0,3,82.89,1.8,Low,3.92,78.98
2.82,9.15,2.28,1.87,3,75.89,2.79,Medium,1.6,74.29
6.78,5.67,6.23,0.64,3,60.51,2.17,Low,3.11,57.39
5.34,8.01,6.26,0.15,1,73.15,2.1,Low,3.54,69.62
6.11,5.23,4.21,0.4,3,70.69,0.69,Low,1.63,69.06
